,,,Misc,,,,,,Games,,Receiving,,,
Player,HOFm,Chmp,AP1,PB,St,From,To,wAV,G,GS,Rec,Yds,TD,Lng
Jonnu Smith,7.78,0,0,0,5,2017,2023,16,96,73,194,2123,18,63
Derrick Walker,7.78,0,0,0,6,1990,1999,16,129,86,180,1770,9,59
Lance Kendricks,7.75,0,0,0,6,2011,2019,16,137,92,244,2555,19,80
Erron Kinney,7.7,0,0,0,6,2000,2005,15,83,67,178,1750,10,31
Joe Rose,7.7,0,0,0,0,1980,1987,15,83,1,112,1493,13,50
Robert Tonyan,7.6,0,0,0,1,2018,2023,15,74,20,142,1476,17,54
Jed Weaver,7.55,1,0,0,2,1999,2004,11,90,37,88,1090,6,41
Itula Mili,7.38,0,0,0,2,1998,2006,15,114,42,164,1743,13,49
Jonathan Hayes,7.33,0,0,0,6,1985,1996,15,184,114,153,1718,13,49
Ben Utecht,7.28,1,0,0,3,2005,2008,11,51,36,87,923,3,30
Vance McDonald,7.2,0,0,0,6,2013,2020,14,101,77,181,2036,15,75
C.J. Uzomah,7.18,0,0,0,4,2015,2023,14,100,78,188,1845,16,55
Irv Smith,7.15,0,0,0,5,1993,1999,14,95,76,183,1788,15,43
Fred Davis,7.1,0,0,0,3,2008,2013,14,72,43,162,2043,13,71
Jim Kleinsasser,7.1,0,0,0,10,1999,2011,14,181,130,192,1688,6,39
Clark Harris,7.05,0,0,1,0,2008,2022,11,206,0,0,0,0,0
Bob Moore,7.05,0,0,0,4,1971,1978,14,93,60,114,1262,7,33
Jay Saldi,7.05,1,0,0,0,1976,1984,10,112,27,84,913,7,43
Eric Bjornson,7.03,1,0,0,2,1995,2000,10,82,41,147,1384,6,43
John Sawyer,7.03,0,0,0,2,1975,1984,14,110,58,129,1496,2,53
Gordie Smith,7,0,0,0,2,1961,1965,14,54,29,57,1277,13,71
Richard Rodgers,6.95,0,0,0,2,2014,2022,14,98,29,148,1533,15,61
Arthur Cox,6.93,0,0,0,9,1983,1991,14,137,120,170,1758,10,62
Paul Seal,6.93,0,0,0,2,1974,1979,14,85,36,106,1586,7,47
Jordan Akins,6.9,0,0,0,1,2018,2023,14,78,27,154,1775,8,53
Gary Shirk,6.88,0,0,0,4,1976,1982,14,101,62,130,1640,11,64
Mikhael Ricks,6.85,0,0,0,2,1998,2003,14,82,43,155,1939,8,50
Ryan Griffin,6.83,0,0,0,5,2013,2022,14,134,67,210,2184,14,47
